accident_id,latitude,longitude,date,severity,near_junction
ACC00112,13.131294,80.219103,2025-08-09,Minor,Retteri Junction
ACC00289,12.923774,80.128528,2025-03-31,Fatal,Tambaram (GST Road)
ACC00014,13.00586,80.205208,2023-05-27,Grievous,Kathipara Junction
ACC00252,12.95685,80.24821,2025-05-08,Minor,Perungudi (OMR)
ACC00300,12.924865,80.125135,2024-04-16,Grievous,Tambaram (GST Road)
ACC00420,12.788697,80.220022,2025-07-25,Grievous,Kelambakkam (ECR/OMR)
ACC00062,13.001387,80.207774,2023-03-23,Grievous,Kathipara Junction
ACC00268,12.960965,80.236402,2024-09-09,Minor,Perungudi (OMR)
ACC00225,12.957932,80.242958,2024-06-04,Fatal,Perungudi (OMR)
ACC00118,13.131534,80.211747,2025-09-19,Minor,Retteri Junction
ACC00328,12.922916,80.130435,2024-12-17,Fatal,Tambaram (GST Road)
ACC00133,13.127014,80.219054,2025-05-13,Grievous,Retteri Junction
ACC00060,13.010499,80.201919,2025-11-06,Fatal,Kathipara Junction
ACC00339,12.928945,80.126217,2025-07-08,Minor,Tambaram (GST Road)
ACC00073,13.007187,80.201968,2024-03-07,Grievous,Kathipara Junction
ACC00432,12.794434,80.225345,2025-03-15,Grievous,Kelambakkam (ECR/OMR)
ACC00415,12.788585,80.223051,2024-05-22,Grievous,Kelambakkam (ECR/OMR)
ACC00298,12.927438,80.127123,2023-10-09,Fatal,Tambaram (GST Road)
ACC00385,12.786707,80.21835,2024-07-24,Grievous,Kelambakkam (ECR/OMR)
ACC00363,12.927179,80.126727,2023-05-19,Fatal,Tambaram (GST Road)
ACC00002,13.008162,80.204782,2023-06-28,Minor,Kathipara Junction
ACC00425,12.790933,80.220273,2025-01-12,Grievous,Kelambakkam (ECR/OMR)
ACC00083,13.12791,80.216846,2023-11-13,Minor,Retteri Junction
ACC00037,13.007426,80.202145,2023-12-05,Grievous,Kathipara Junction
ACC00048,13.007927,80.202954,2023-07-21,Minor,Kathipara Junction
ACC00044,13.008001,80.202822,2025-09-21,Fatal,Kathipara Junction
ACC00321,12.930014,80.13089,2023-06-22,Grievous,Tambaram (GST Road)
ACC00082,13.131899,80.212568,2023-07-30,Fatal,Retteri Junction
ACC00011,13.003128,80.201522,2024-04-11,Fatal,Kathipara Junction
ACC00092,13.127763,80.208568,2023-02-26,Grievous,Retteri Junction
ACC00191,13.00387,80.242176,2025-10-11,Grievous,Madhya Kailash Junction
ACC00151,13.007341,80.246253,2024-05-14,Minor,Madhya Kailash Junction
ACC00122,13.133063,80.214996,2025-05-01,Grievous,Retteri Junction
ACC00100,13.128395,80.213134,2025-02-15,Minor,Retteri Junction
ACC00403,12.794583,80.216442,2024-07-16,Fatal,Kelambakkam (ECR/OMR)
ACC00428,12.792965,80.219532,2024-11-25,Minor,Kelambakkam (ECR/OMR)
ACC00325,12.924475,80.126113,2024-11-16,Minor,Tambaram (GST Road)
ACC00222,12.961117,80.245701,2025-12-23,Fatal,Perungudi (OMR)
ACC00068,13.003807,80.202875,2024-12-15,Fatal,Kathipara Junction
ACC00368,12.791959,80.220464,2023-03-27,Minor,Kelambakkam (ECR/OMR)
ACC00401,12.791774,80.216839,2023-11-28,Grievous,Kelambakkam (ECR/OMR)
ACC00088,13.131582,80.212138,2025-07-31,Minor,Retteri Junction
ACC00050,13.007286,80.205659,2025-05-14,Grievous,Kathipara Junction
ACC00351,12.92532,80.125422,2025-08-25,Grievous,Tambaram (GST Road)
ACC00310,12.92721,80.12545,2023-10-30,Minor,Tambaram (GST Road)
ACC00416,12.790612,80.220748,2025-05-06,Minor,Kelambakkam (ECR/OMR)
ACC00190,13.010037,80.246717,2024-10-19,Grievous,Madhya Kailash Junction
ACC00290,12.929367,80.129088,2023-07-07,Minor,Tambaram (GST Road)
ACC00306,12.928221,80.121137,2023-08-05,Fatal,Tambaram (GST Road)
ACC00337,12.923478,80.126004,2023-12-06,Fatal,Tambaram (GST Road)
ACC00429,12.787325,80.218983,2025-11-08,Fatal,Kelambakkam (ECR/OMR)
ACC00086,13.130865,80.210763,2024-05-23,Minor,Retteri Junction
ACC00186,13.013161,80.251533,2023-02-12,Minor,Madhya Kailash Junction
ACC00213,12.966073,80.238439,2025-12-13,Grievous,Perungudi (OMR)
ACC00154,13.0053,80.249204,2024-07-19,Grievous,Madhya Kailash Junction
ACC00174,13.002918,80.24424,2024-03-01,Minor,Madhya Kailash Junction
ACC00051,13.008627,80.206766,2023-06-04,Minor,Kathipara Junction
ACC00185,13.010473,80.244242,2023-02-22,Grievous,Madhya Kailash Junction
ACC00188,13.006873,80.245514,2025-06-24,Grievous,Madhya Kailash Junction
ACC00232,12.961306,80.24673,2023-04-11,Minor,Perungudi (OMR)
ACC00376,12.787466,80.219256,2024-08-28,Fatal,Kelambakkam (ECR/OMR)
ACC00375,12.791527,80.215413,2024-01-05,Fatal,Kelambakkam (ECR/OMR)
ACC00390,12.792618,80.218064,2024-10-16,Fatal,Kelambakkam (ECR/OMR)
ACC00324,12.923194,80.128753,2024-11-23,Grievous,Tambaram (GST Road)
ACC00124,13.133416,80.209787,2023-01-13,Grievous,Retteri Junction
ACC00023,13.009262,80.213915,2023-07-06,Grievous,Kathipara Junction
ACC00187,13.011201,80.247358,2023-03-24,Grievous,Madhya Kailash Junction
ACC00142,13.126454,80.216664,2024-05-12,Fatal,Retteri Junction
ACC00231,12.953511,80.238638,2025-03-21,Grievous,Perungudi (OMR)
ACC00419,12.786393,80.220039,2024-09-23,Grievous,Kelambakkam (ECR/OMR)
ACC00210,12.962435,80.248058,2025-08-26,Fatal,Perungudi (OMR)
ACC00255,12.964726,80.243489,2024-04-28,Grievous,Perungudi (OMR)
ACC00159,13.003081,80.247987,2024-11-08,Grievous,Madhya Kailash Junction
ACC00189,13.008361,80.246415,2025-10-04,Grievous,Madhya Kailash Junction
ACC00296,12.927301,80.129086,2025-09-23,Grievous,Tambaram (GST Road)
ACC00042,13.005426,80.202567,2023-05-26,Fatal,Kathipara Junction
ACC00320,12.922104,80.124831,2025-07-11,Minor,Tambaram (GST Road)
ACC00267,12.960463,80.24278,2023-03-30,Grievous,Perungudi (OMR)
ACC00160,13.004751,80.250017,2024-04-17,Grievous,Madhya Kailash Junction
ACC00094,13.134166,80.214752,2024-10-04,Grievous,Retteri Junction
ACC00038,13.006695,80.209771,2024-03-09,Grievous,Kathipara Junction
ACC00065,13.007484,80.206714,2024-09-06,Minor,Kathipara Junction
ACC00295,12.922474,80.125067,2025-11-15,Fatal,Tambaram (GST Road)
ACC00281,12.956732,80.246143,2025-05-16,Minor,Perungudi (OMR)
ACC00028,13.007589,80.200993,2023-11-20,Grievous,Kathipara Junction
ACC00407,12.790328,80.219359,2024-06-26,Fatal,Kelambakkam (ECR/OMR)
ACC00247,12.960359,80.239883,2024-11-02,Minor,Perungudi (OMR)
ACC00239,12.963504,80.247922,2025-01-19,Minor,Perungudi (OMR)
ACC00223,12.958036,80.245283,2023-12-25,Fatal,Perungudi (OMR)
ACC00404,12.7918,80.221804,2025-10-26,Grievous,Kelambakkam (ECR/OMR)
ACC00265,12.964244,80.243133,2025-05-12,Fatal,Perungudi (OMR)
ACC00007,13.011485,80.209952,2023-07-09,Grievous,Kathipara Junction
ACC00309,12.928669,80.128962,2024-02-02,Grievous,Tambaram (GST Road)
ACC00387,12.783403,80.219261,2024-06-17,Fatal,Kelambakkam (ECR/OMR)
ACC00111,13.13489,80.210072,2025-05-20,Minor,Retteri Junction
ACC00398,12.791849,80.221856,2025-08-12,Fatal,Kelambakkam (ECR/OMR)
ACC00157,13.004599,80.244604,2023-07-10,Minor,Madhya Kailash Junction
ACC00393,12.79097,80.216557,2024-02-16,Fatal,Kelambakkam (ECR/OMR)
ACC00013,13.004864,80.205965,2023-11-30,Minor,Kathipara Junction
ACC00200,13.013341,80.247048,2023-08-29,Grievous,Madhya Kailash Junction
ACC00334,12.929837,80.139945,2024-08-28,Fatal,Tambaram (GST Road)
